Timestamp,PPXDK00 |FO 380 CST 3.5%S FOB SPORE CARGO(USD/MT) : CLOSE,PPXDK00 |FO 380 CST 3.5%S FOB SPORE CARGO(USD/MT) : HIGH,PPXDK00 |FO 380 CST 3.5%S FOB SPORE CARGO(USD/MT) : LOW
4/15/2025,417.25,417.27,417.23
4/14/2025,413.19,413.21,413.17
4/11/2025,399.85,399.87,399.83
4/10/2025,392.53,392.55,392.51
4/9/2025,376.71,376.73,376.69
4/8/2025,397.89,397.91,397.87
4/7/2025,392.13,392.15,392.11
4/4/2025,415.83,415.85,415.81
4/3/2025,445.63,445.65,445.61
4/2/2025,452.13,452.15,452.11
4/1/2025,453.3,453.32,453.28
3/28/2025,455.55,455.57,455.53
3/27/2025,455.31,455.33,455.29
3/26/2025,457.1,457.12,457.08
3/25/2025,459.16,459.18,459.14
3/24/2025,454.42,454.44,454.4
3/21/2025,454.63,454.65,454.61
3/20/2025,451.87,451.89,451.85
3/19/2025,444.83,444.85,444.81
3/18/2025,454.59,454.61,454.57
3/17/2025,456.26,456.28,456.24
3/14/2025,458.3,458.32,458.28
3/13/2025,461.8,461.82,461.78
3/12/2025,457.22,457.24,457.2
3/11/2025,457.44,457.46,457.42
3/10/2025,468.32,468.34,468.3
3/7/2025,464.42,464.44,464.4
3/6/2025,453.46,453.48,453.44
3/5/2025,445.39,445.41,445.37
3/4/2025,447.99,448.01,447.97
3/3/2025,478.3,478.32,478.28
2/28/2025,475.15,475.17,475.13
2/27/2025,479.81,479.83,479.79
2/26/2025,470.63,470.65,470.61
2/25/2025,481.88,481.9,481.86
2/24/2025,480.62,480.64,480.6
2/21/2025,491.67,491.69,491.65
2/20/2025,490.17,490.19,490.15
2/19/2025,485.82,485.84,485.8
2/18/2025,480.77,480.79,480.75
2/17/2025,476.47,476.49,476.45
2/14/2025,483.94,483.96,483.92
2/13/2025,483.62,483.64,483.6
2/12/2025,496.25,496.27,496.23
2/11/2025,500.5,500.52,500.48
2/10/2025,490.63,490.65,490.61
2/7/2025,487.62,487.64,487.6
2/6/2025,479.28,479.3,479.26
2/5/2025,484.83,484.85,484.81
2/4/2025,471.53,471.55,471.51
2/3/2025,482.48,482.5,482.46
1/31/2025,483.82,483.84,483.8
1/28/2025,480.32,480.34,480.3
1/27/2025,481.98,482,481.96
1/24/2025,488.99,489.01,488.97
1/23/2025,488.19,488.21,488.17
1/22/2025,487.05,487.07,487.03
1/21/2025,493.85,493.87,493.83
1/20/2025,494.91,494.93,494.89
1/17/2025,494.58,494.6,494.56
1/16/2025,491.7,491.72,491.68
1/15/2025,476.8,476.82,476.78
1/14/2025,477.67,477.69,477.65
1/13/2025,486.7,486.72,486.68
1/10/2025,458.25,458.27,458.23
1/9/2025,451.1,451.12,451.08
1/8/2025,451.54,451.56,451.52
1/7/2025,443.31,443.33,443.29
1/6/2025,450.48,450.5,450.46
1/3/2025,454.69,454.71,454.67
1/2/2025,449.94,449.96,449.92
12/31/2024,451.3,451.32,451.28
12/30/2024,444.64,444.66,444.62
12/27/2024,442.16,442.18,442.14
12/26/2024,442.76,442.78,442.74
12/24/2024,440.33,440.35,440.31
12/23/2024,440.86,440.88,440.84
12/20/2024,438.69,438.71,438.67
12/19/2024,440.4,440.42,440.38
12/18/2024,441.94,441.96,441.92
12/17/2024,436.91,436.93,436.89
12/16/2024,443.08,443.1,443.06
12/13/2024,434.02,434.04,434
12/12/2024,433.93,433.95,433.91
12/11/2024,423.8,423.82,423.78
