Trade_#,Trade_Type,Direction,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Units,Entry_Notional,Conviction,Realized_PnL,Unrealized_PnL,PnL_Pct
45,ADD_ON,SHORT,2021-07-16,73.58999633789062,2021-07-19,68.62000274658203,5716.122938557804,420649.4661154014,0.4081116,14689.805499400843,0.0,3.4921726241703652
46,NEW,LONG,2021-07-19,68.62000274658203,2021-07-21,72.2300033569336,53591.13443827345,3677423.7923467713,0.95863485,168159.99295798893,0.0,4.5727662204164
47,REDUCE,LONG,2021-07-20,69.3499984741211,2021-07-21,72.2300033569336,4181.643148879564,289996.9459941167,0.865476,13260.88238665816,0.0,4.5727662204164
48,NEW,SHORT,2021-07-21,72.2300033569336,2021-08-17,69.02999877929688,29320.118907572047,2117792.287119621,0.4712534,51520.69542182996,0.0,2.432754889852891
49,REDUCE,SHORT,2021-07-22,73.79000091552734,2021-08-17,69.02999877929688,19527.325033444984,1440921.3320957054,0.90032244,35054.084165491695,0.0,2.4327548898528915
50,REDUCE,SHORT,2021-07-23,74.0999984741211,2021-08-17,69.02999877929688,2691.193455508961,199417.43094677868,0.96383643,4851.337302576771,0.0,2.4327548898528915
51,ADD_ON,SHORT,2021-07-26,74.5,2021-08-17,69.02999877929688,552.7217048020102,41177.76700774976,0.9577496,1001.7541404132629,0.0,2.432754889852891
52,ADD_ON,SHORT,2021-07-27,74.4800033569336,2021-08-17,69.02999877929688,1210.285980077686,90142.10385903572,0.93076396,2192.9364394469635,0.0,2.4327548898528915
53,REDUCE,SHORT,2021-07-28,74.73999786376953,2021-08-17,69.02999877929688,1337.7814599541598,99985.78345916439,0.9641926,2432.4090362605452,0.0,2.4327548898528915
54,ADD_ON,SHORT,2021-07-29,76.05000305175781,2021-08-17,69.02999877929688,366.5389394014346,27875.287460067175,0.9757621,678.137418745334,0.0,2.432754889852891
55,ADD_ON,SHORT,2021-07-30,76.33000183105469,2021-08-17,69.02999877929688,275.4735480356612,21026.896425969153,0.9737439,511.53285098706743,0.0,2.4327548898528915
56,REDUCE,SHORT,2021-08-02,72.88999938964844,2021-08-17,69.02999877929688,1677.897226637644,122301.92782551068,0.95855224,2975.306129559465,0.0,2.432754889852891
57,ADD_ON,SHORT,2021-08-03,72.41000366210938,2021-08-17,69.02999877929688,3502.674936728239,253628.70499567053,0.87606335,6170.16472285274,0.0,2.4327548898528915
58,ADD_ON,SHORT,2021-08-05,71.29000091552734,2021-08-17,69.02999877929688,24206.141811943024,1725655.871934803,0.34910676,41980.97760652747,0.0,2.4327548898528915
59,REDUCE,SHORT,2021-08-10,70.62999725341797,2021-08-17,69.02999877929688,1855.9210373975002,131083.69777394607,0.38313508,3188.9450673956585,0.0,2.432754889852891
60,REDUCE,SHORT,2021-08-11,71.44000244140625,2021-08-17,69.02999877929688,19490.78581781505,1392421.7864096335,0.80162466,33874.20909625734,0.0,2.4327548898528915
61,REDUCE,SHORT,2021-08-12,71.30999755859375,2021-08-17,69.02999877929688,5026.162785356144,358415.6559528414,0.9059607,8719.374396191064,0.0,2.432754889852891
62,REDUCE,SHORT,2021-08-13,70.58999633789062,2021-08-17,69.02999877929688,228.88708615519135,16157.138573485414,0.89991343,393.06357870677414,0.0,2.4327548898528915
63,NEW,LONG,2021-08-17,69.02999877929688,2021-08-25,72.25,22961.451703733004,1585028.9830795734,0.30253315,68651.76907552981,0.0,4.331262696669773
64,ADD_ON,LONG,2021-08-18,68.2300033569336,2021-08-25,72.25,30811.57415530238,2102273.8080486897,0.89957166,91055.001229872,0.0,4.331262696669772
65,ADD_ON,LONG,2021-08-19,66.44999694824219,2021-08-25,72.25,4736.730974698454,314755.7588133565,0.9632273,13632.89876710279,0.0,4.331262696669772
66,ADD_ON,LONG,2021-08-20,65.18000030517578,2021-08-25,72.25,2225.4621431084597,145055.62316696654,0.98378766,6282.740095652699,0.0,4.331262696669773
67,REDUCE,LONG,2021-08-23,68.75,2021-08-25,72.25,9475.983813341278,651473.8871672128,0.85747313,28217.045453418013,0.0,4.331262696669773
68,NEW,SHORT,2021-08-25,72.25,2021-09-01,71.58999633789062,46655.74361881165,3370877.4764591414,0.81295276,9768.138976439403,0.0,0.2897803033381123
69,REDUCE,SHORT,2021-08-26,71.06999969482422,2021-09-01,71.58999633789062,1591.5896504577904,113114.27597232055,0.8108479,327.7828920312999,0.0,0.2897803033381123
70,REDUCE,SHORT,2021-08-27,72.69999694824219,2021-09-01,71.58999633789062,717.4042981314778,52155.29028481427,0.8481356,151.13575839420778,0.0,0.2897803033381123
71,ADD_ON,SHORT,2021-08-30,73.41000366210938,2021-09-01,71.58999633789062,9917.35256655285,728032.8882290745,0.6505003,2109.695911911432,0.0,0.2897803033381123
72,ADD_ON,SHORT,2021-08-31,72.98999786376953,2021-09-01,71.58999633789062,220.44620055809355,16090.367707811358,0.641238,46.626716351913416,0.0,0.2897803033381123
73,NEW,LONG,2021-09-01,71.58999633789062,2021-10-05,82.55999755859375,24344.14932389105,1742797.5609464229,0.33016646,103898.25979798095,0.0,5.961579366771617
74,ADD_ON,LONG,2021-09-07,71.69000244140625,2021-10-05,82.55999755859375,21219.724241978085,1521242.0827133763,0.7634759,90690.05412168746,0.0,5.961579366771617
75,ADD_ON,LONG,2021-09-08,72.5999984741211,2021-10-05,82.55999755859375,6367.8517886768095,462306.03014136566,0.9069263,27560.74090424863,0.0,5.961579366771617
76,ADD_ON,LONG,2021-09-09,71.44999694824219,2021-10-05,82.55999755859375,3391.424889998394,242317.29804057785,0.9589212,14445.938042105574,0.0,5.961579366771617
77,REDUCE,LONG,2021-09-10,72.91999816894531,2021-10-05,82.55999755859375,4521.116813440152,329679.82975764375,0.8882011,19654.124707239484,0.0,5.961579366771617
78,REDUCE,LONG,2021-09-13,73.51000213623047,2021-10-05,82.55999755859375,261.5211875659079,19224.423056639418,0.89126194,1146.0792383255011,0.0,5.961579366771618
79,ADD_ON,LONG,2021-09-14,73.5999984741211,2021-10-05,82.55999755859375,2488.2245131759046,183133.32037301728,0.9447051,10917.63824104156,0.0,5.961579366771617
80,REDUCE,LONG,2021-09-15,75.45999908447266,2021-10-05,82.55999755859375,15846.134831079078,1195749.3198456576,0.6322967,71285.54473023067,0.0,5.961579366771617
81,ADD_ON,LONG,2021-09-16,75.66999816894531,2021-10-05,82.55999755859375,7367.060411889681,557465.4478782016,0.7932608,33233.745117587845,0.0,5.961579366771616
82,ADD_ON,LONG,2021-09-17,75.33999633789062,2021-10-05,82.55999755859375,5385.254664898166,405725.06673203624,0.90460646,24187.621864117446,0.0,5.961579366771617
83,ADD_ON,LONG,2021-09-20,73.91999816894531,2021-10-05,82.55999755859375,2394.8410813476803,177026.64834813555,0.93482435,10553.584141609797,0.0,5.961579366771617
84,ADD_ON,LONG,2021-09-21,74.36000061035156,2021-10-05,82.55999755859375,1181.0219201249201,87820.79070132764,0.9663882,5235.506138186036,0.0,5.961579366771617
85,REDUCE,LONG,2021-09-22,76.19000244140625,2021-10-05,82.55999755859375,2392.766565431164,182304.89046191564,0.94236064,10868.25073439316,0.0,5.961579366771617
86,REDUCE,LONG,2021-09-23,77.25,2021-10-05,82.55999755859375,2599.557739308446,200815.83536157745,0.9006069,11971.795406125862,0.0,5.961579366771617
87,REDUCE,LONG,2021-09-24,78.08999633789062,2021-10-05,82.55999755859375,252.29817333886604,19701.96343208854,0.9066019,1174.5481868162797,0.0,5.961579366771617
88,ADD_ON,LONG,2021-09-27,79.52999877929688,2021-10-05,82.55999755859375,80.42635119266924,6396.307612176287,0.92821467,381.32095484274384,0.0,5.961579366771617
89,ADD_ON,LONG,2021-09-28,79.08999633789062,2021-10-05,82.55999755859375,190.22556567550782,15044.939292649085,0.9264413,896.9159966138835,0.0,5.961579366771617
90,ADD_ON,LONG,2021-09-29,78.63999938964844,2021-10-05,82.55999755859375,1833.422294046577,144180.32808479064,0.96127784,8595.424690046502,0.0,5.961579366771617
91,REDUCE,LONG,2021-09-30,78.5199966430664,2021-10-05,82.55999755859375,9713.933760886168,762738.0462957514,0.7423637,45471.233990484456,0.0,5.961579366771617
92,REDUCE,LONG,2021-10-01,79.27999877929688,2021-10-05,82.55999755859375,3643.8655165254168,288885.653702057,0.66890085,17222.14752466514,0.0,5.961579366771617
